key	en	official_zh	revised_zh
declension.special.b4d04a739614455b.instrumental	a creditor's tally-stick, notched past reading	一根刻痕密得无法辨读的债权筹	一根刻痕密到无从辨读的债主记账筹
declension.special.b4d04a739614455b.locative	a creditor's tally-stick, notched past reading	一根刻痕密得无法辨读的债权筹	一根刻痕密到无从辨读的债主记账筹
declension.special.b4d04a739614455b.weakDative	a creditor's tally-stick, notched past reading	一根刻痕密得无法辨读的债权筹	一根刻痕密到无从辨读的债主记账筹
declension.special.b4d04a739614455b.weakNominative	a creditor's tally-stick, notched past reading	一根刻痕密得无法辨读的债权筹	一根刻痕密到无从辨读的债主记账筹
declension.special.df1e26b1529abf2e.dative	a warden's seal struck through in lead	一枚以铅划销的守卫印章	一枚以铅划销的守封者印章
declension.special.df1e26b1529abf2e.instrumental	a warden's seal struck through in lead	一枚以铅划销的守卫印章	一枚以铅划销的守封者印章
declension.special.df1e26b1529abf2e.locative	a warden's seal struck through in lead	一枚以铅划销的守卫印章	一枚以铅划销的守封者印章
declension.special.df1e26b1529abf2e.weakAccusative	a warden's seal struck through in lead	一枚以铅划销的守卫印章	一枚以铅划销的守封者印章
declension.special.df1e26b1529abf2e.weakDative	a warden's seal struck through in lead	一枚以铅划销的守卫印章	一枚以铅划销的守封者印章
declension.special.df1e26b1529abf2e.weakNominative	a warden's seal struck through in lead	一枚以铅划销的守卫印章	一枚以铅划销的守封者印章
declension.trophy.02806d65598c3c43.dative	a pen worn to the nib	磨至笔尖的笔	磨得只剩笔尖的笔
declension.trophy.02806d65598c3c43.instrumental	a pen worn to the nib	磨至笔尖的笔	磨得只剩笔尖的笔
declension.trophy.02806d65598c3c43.locative	a pen worn to the nib	磨至笔尖的笔	磨得只剩笔尖的笔
declension.trophy.02806d65598c3c43.weakDative	a pen worn to the nib	磨至笔尖的笔	磨得只剩笔尖的笔
declension.trophy.02806d65598c3c43.weakGenitive	a pen worn to the nib	磨至笔尖的笔	磨得只剩笔尖的笔
declension.trophy.21982524a2ababac.dative	a wererat's ringed tail	鼠人的环纹尾巴	鼠化人的环纹尾巴
declension.trophy.21982524a2ababac.instrumental	a wererat's ringed tail	鼠人的环纹尾巴	鼠化人的环纹尾巴
declension.trophy.21982524a2ababac.locative	a wererat's ringed tail	鼠人的环纹尾巴	鼠化人的环纹尾巴
declension.trophy.21982524a2ababac.weakDative	a wererat's ringed tail	鼠人的环纹尾巴	鼠化人的环纹尾巴
declension.trophy.21982524a2ababac.weakNominative	a wererat's ringed tail	鼠人的环纹尾巴	鼠化人的环纹尾巴
declension.trophy.4a6c3530984d14ad.dative	shed naga fang	脱落的娜迦尖牙	脱落的纳迦尖牙
declension.trophy.4a6c3530984d14ad.instrumental	shed naga fang	脱落的娜迦尖牙	脱落的纳迦尖牙
declension.trophy.4a6c3530984d14ad.locative	shed naga fang	脱落的娜迦尖牙	脱落的纳迦尖牙
declension.trophy.4a6c3530984d14ad.weakDative	shed naga fang	脱落的娜迦尖牙	脱落的纳迦尖牙
declension.trophy.4a6c3530984d14ad.weakNominative	shed naga fang	脱落的娜迦尖牙	脱落的纳迦尖牙
declension.trophy.86ca277e7bc9d14f.dative	mismatched jawbone	不相称的颌骨	不成对的颌骨
declension.trophy.86ca277e7bc9d14f.instrumental	mismatched jawbone	不相称的颌骨	不成对的颌骨
declension.trophy.86ca277e7bc9d14f.locative	mismatched jawbone	不相称的颌骨	不成对的颌骨
declension.trophy.86ca277e7bc9d14f.weakDative	mismatched jawbone	不相称的颌骨	不成对的颌骨
declension.trophy.86ca277e7bc9d14f.weakNominative	mismatched jawbone	不相称的颌骨	不成对的颌骨
desktop.playerReadme	LOWMOOR: AN ADVENTURER'S CHRONICLE\nVersion {version}\nhttps://lawmoore.vercel.app\n\nThank you for taking a copy of the game. The whole of it ships in this\none program: no account, no telemetry, and the chronicle keeps itself\non this machine. The adventure conducts itself; yours is the chronicle.\n\nWindows may hold the door on the first run and say it protected your\nPC. That is SmartScreen remarking that the program carries no paid\nsignature, and it is a remark about the paperwork rather than about the\nprogram: choose More info, then Run anyway. The game asks for no\nadministrator rights and does not require a network connection.\n\nThe window scales, which a wide screen will want. Hold Ctrl and press\n+ or - to make the whole of it larger or smaller, Ctrl and 0 to set it\nback to its plain size, or hold Ctrl and turn the mouse wheel. What you\nchoose is kept for the next time you play, and a large screen opens a\nlittle larger of its own accord.\n\nThe window also keeps its place. Give it the size and the corner of the\ndesk you want it in, and that is where the next descent opens, whether\nyou left it small in a corner or spread across the screen. F11 fills\nthe screen with the game, and F11 gives the frame back.\n\nThe same game runs in the browser upon the itch page, and a save code\n(Export Save, in the menu) carries an adventurer between browser and\ndesktop, written plainly enough for paper.\n\nIf the descent pleases you, two small things carry the game further\nthan any coin:\n\n  1. A rating upon the itch page:\n     https://bogurodzica.itch.io/lowmoor\n  2. A chair at the Guild's hall on Discord, where the next floors are\n     planned in the open and every petition is read:\n     https://discord.com/invite/9wbuVjFukE\n\nIf the game displeases you, or a fault trips you on the stair, I am\nsorry for it, and I would hear of it: file it at #the-assay-counter in\nthe hall, or leave a comment upon the itch page. Say what happened,\nwhat you looked for instead, and where you were standing when it went\nwrong, and I will work the game toward the state you wanted of it.\n\nMay fortune attend the descent.\n	LOWMOOR：冒险者纪事\n版本 {version}\nhttps://lawmoore.vercel.app\n\n感谢你下载游戏。完整游戏包含在这一个程序中，无需账户，\n不收集遥测数据，纪事自动保存在本机。冒险自动进行，\n你可以观看并保存这段旅程。\n\nWindows首次运行时可能提示已保护你的电脑。这是SmartScreen\n对程序没有付费数字签名的提示，针对签名信息，而非程序本身。\n选择「更多信息」，再选择「仍要运行」。游戏无需管理员权限，\n也无需联网即可游玩。\n\n窗口支持缩放，适合大屏幕。按住Ctrl再按+或-可放大或缩小\n整个界面，Ctrl与0恢复原始大小，也可按住Ctrl滚动鼠标滚轮。\n选择会保留到下次游玩，大屏幕上首次打开时也会自动略微放大。\n\n窗口也会记住位置。将它调整到你想要的大小和桌面位置，\n下次启动时就会恢复，无论你把它缩在角落，还是铺满屏幕。\n按F11可全屏，再按F11恢复窗口边框。\n\nitch页面的浏览器版运行同一款游戏。菜单中的「导出存档」\n生成存档码，可在浏览器与桌面版之间转移冒险者，也可抄到纸上。\n\n如果你喜欢这次冒险，以下两件小事能帮助游戏找到更多玩家：\n\n  1. 在itch页面评分：\n     https://bogurodzica.itch.io/lowmoor\n  2. 加入Discord公会大厅。后续楼层会在那里公开讨论，\n     每条反馈都会阅读：\n     https://discord.com/invite/9wbuVjFukE\n\n如果游戏不合你的期待，或途中遇到故障，我很抱歉，也想了解\n具体情况。请在Discord的#the-assay-counter频道报告，\n或在itch页面留言。说明发生了什么、你期望怎样，以及出错时\n进行到哪里，我会根据这些信息改进游戏。\n\n愿你的下探一路好运。\n	LOWMOOR：冒险者纪事\n版本 {version}\nhttps://lawmoore.vercel.app\n\n感谢你下载游戏。完整游戏包含在这一个程序中，无需账户，\n不收集遥测数据，纪事自动保存在本机。冒险自行推进，\n纪事则归你所有。\n\nWindows首次运行时可能提示已保护你的电脑。这是SmartScreen\n在提醒程序没有付费签名，说的是手续，而非程序本身。\n选择「更多信息」，再选择「仍要运行」。游戏无需管理员权限，\n也无需联网即可游玩。\n\n窗口支持缩放，适合大屏幕。按住Ctrl再按+或-可放大或缩小\n整个界面，Ctrl与0恢复原始大小，也可按住Ctrl滚动鼠标滚轮。\n选择会保留到下次游玩，大屏幕上首次打开时也会自动略微放大。\n\n窗口也会记住位置。将它调整到你想要的大小和桌面位置，\n下次启动时就会恢复，无论你把它缩在角落，还是铺满屏幕。\n按F11可全屏，再按F11恢复窗口边框。\n\nitch页面的浏览器版运行同一款游戏。菜单中的「导出存档」\n生成存档码，可在浏览器与桌面版之间转移冒险者，也可抄到纸上。\n\n如果你喜欢这次冒险，以下两件小事能帮助游戏找到更多玩家：\n\n  1. 在itch页面评分：\n     https://bogurodzica.itch.io/lowmoor\n  2. 在Discord的公会大厅占一席之位。后续各层在那里公开筹划，\n     每份请愿都会有人阅读：\n     https://discord.com/invite/9wbuVjFukE\n\n如果游戏不合你的期待，或途中遇到故障，我很抱歉，也想了解\n具体情况。请在Discord的#the-assay-counter频道报告，\n或在itch页面留言。说明发生了什么、你期望怎样，以及出错时\n进行到哪里，我会根据这些信息改进游戏。\n\n愿好运伴你下行。\n
display.26-audio-music-and-game-state.labels.0007	The Undergate	深层之门	深门
display.26-audio-music-and-game-state.labels.0008	Grey Warrens	灰色巢穴	灰巢
display.26-audio-music-and-game-state.labels.0040	The Kennels	猎犬舍	犬舍
display.26-audio-music-and-game-state.soundNudge.0064	This machine is fitted with a speaker, should you wish to hear the descent.	这台机器配有扬声器，你可以听见冒险中的声音。	这台机器装有扬声器，如你愿意，可以听一听下行途中的声响。
display.27-dom-log-dice-and-menu-bar.labels.0017	The descent	深入地下	下行
display.27-dom-log-dice-and-menu-bar.labels.0018	Floors, chapters, capstones and the plot.	楼层、章节、关底强敌与进程。	楼层、章节、关底首领与进程。
display.27-dom-log-dice-and-menu-bar.labels.0022	Weather, the town, hirelings and the noticeboard.	天气、城镇、帮手与告示板。	天气、城镇、帮手与布告板。
display.27-dom-log-dice-and-menu-bar.labels.0067	Master Pell keeps the counter against your return. The {tag1}Shop{tag2} (menu) sells timed boons, a turn at the drill yard, and a recovery party endowed for prestige. Work upon the kit itself is the Guild forge's, in the Armoury.	佩尔先生在柜台等你回来。菜单中的{tag1}商店{tag2}出售限时祝福、训练场练习，以及用声望资助的救援队。装备加工则由军械库里的公会锻炉负责。	佩尔先生在柜台等你回来。菜单中的{tag1}商店{tag2}出售限时祝福、训练场练习，以及用声望资助的搜救队。装备加工则由军械库里的公会锻炉负责。
display.27-dom-log-dice-and-menu-bar.labels.0073	The Guild keeps a roll of what walks at a member's heel. {tag1}Pets{tag2} (menu) names every one, what each of them eats, and the door each comes through. One walks with you at a time, and a pet taken once is kept for every chronicle after.	公会为会员身边的宠物另立名册。菜单中的{tag1}宠物{tag2}列出每只宠物、所吃的食物与获取途径。同一时间只能带一只，获得过的宠物会保留到此后的每份纪事。	公会为会员身边的宠物另立名册。菜单中的{tag1}宠物{tag2}列出每只宠物、所吃的食物与获取途径。同一时间只能带一只，获得过的宠物会保留到此后的每部纪事。
display.27-dom-log-dice-and-menu-bar.labels.0075	The treasure is carried up and set behind glass. The {tag1}Trophy Case{tag2} (menu) holds every piece recovered, and the wall of capstones beaten.	宝物被带回地面，放入玻璃柜。菜单中的{tag1}战利品陈列柜{tag2}保存寻回的物件，并展示你击败过的关底强敌。	宝物被带回地面，放入玻璃柜。菜单中的{tag1}战利品陈列柜{tag2}保存寻回的物件，并展示你击败过的关底首领。
display.27-dom-log-dice-and-menu-bar.line.0069	The Guild hangs your name upon its chart of the deep: a skill tree of {value0} skills, in eight quarters, and {value1} of yours to spend. {tag1}Skills{tag2} (menu) opens the wall. The Guild picks for you unless you take the pen there yourself.	公会将你的姓名挂上地下图谱：八个分区，共{value0}项技能，目前有{value1}点供你分配。菜单中的{tag1}技能{tag2}可打开这面墙。默认由公会选择，你也可以在那里收回执笔权。	公会将你的姓名挂上地下图谱：八个分区，共{value0}项技能，目前有{value1}点供你分配。菜单中的{tag1}技能{tag2}可打开这面墙。若你不在那里亲自执笔，便由公会代为挑选。
display.27-dom-log-dice-and-menu-bar.line.0078	{tag1}Feats{tag2} (menu) keeps every feat your deeds have licensed. Prestige unlocks one for good, gold hires it onto the chronicle in hand, and your papers can hold at most {value0} feats.	菜单中的{tag1}专长{tag2}列出你的功绩所解锁的项目。花费声望可永久解锁一项，再花金币将其用于本份纪事；你的档案最多可容纳{value0}项专长。	菜单中的{tag1}专长{tag2}列出你的功绩所解锁的项目。花费声望可永久解锁一项，再花金币将其用于本部纪事；你的档案最多可容纳{value0}项专长。
display.27-dom-log-dice-and-menu-bar.presenceWhere.0055	Arc {value1}	第{value1}篇	第{value1}篇章
display.31-sheet-rendering-and-panels.MP_HELP.0126	The well your workings draw upon. Each firing spends 1 MP. The well refills over about eight minutes. A breath gives back a point for every five of INT.	能力从法力泉取用力量，每次触发消耗1点MP。法力泉约八分钟回满。喘息时，每5点INT恢复1点MP。	法力泉是术法取力之处，每次触发消耗1点MP。法力泉约八分钟回满。喘息时，每5点INT恢复1点MP。
display.31-sheet-rendering-and-panels.WIS.0054	Sets your spot: traps, ambushes, mimics.	决定察觉值，用于发现陷阱、伏击和拟态怪。	决定察觉值，用于发现陷阱、伏击和拟形怪。
display.31-sheet-rendering-and-panels.drawHand.0426	not at study: the Barracks' {value1} stage sets it on	尚未开始研习：营房达到第{value1}阶段后开启	尚未开始研习：兵营达到第{value1}阶段后开启
display.31-sheet-rendering-and-panels.drawHand.0427	no experience: needs Barracks stage {value1}	尚不能获得经验：需要营房第{value1}阶段	尚不能获得经验：需要兵营第{value1}阶段
display.31-sheet-rendering-and-panels.labels.0001	The Guild licenses its singers; this one sings without papers.	公会要求歌者持有执照；这一位还没有执照就开唱了。	公会为歌者发放执照；这一位无照开唱。
display.31-sheet-rendering-and-panels.labels.0002	The pact is struck and the terms of it are still with the patron's clerks, who are in no hurry.	契约已经订立，条款仍在宗主的书记手中。他们迟迟没有办完手续。	契约已经订立，条款仍在宗主的书记手里，而书记们并不着急。
display.31-sheet-rendering-and-panels.labels.0125	Your hit points. A beast's blow takes its toll and nothing knits it upon the march. Only rest answers a wound: a breath against the wall, a camp, a Guildhouse bed or the Infirmary. A new rank mends all. Below seven tenths you take a breath; below half you make camp.	你的生命值。怪物的攻击会使其减少，行进途中不会自行恢复。靠墙喘息、扎营、睡公会馆的床铺或去医务室都能疗伤。升级会完全恢复HP。HP低于七成时会喘息，低于一半时会扎营。	你的生命值。怪物的攻击会使其减少，行进途中不会自行恢复。唯有休息能疗伤：靠墙喘息、扎营、睡公会馆的床铺，或去医务所。升级会完全恢复HP。HP低于七成时会喘息，低于一半时会扎营。
display.31-sheet-rendering-and-panels.line.0466	The first posting is done and paid, and the {tag1}Guild Noticeboard{tag2} unfolds to keep the record.	第一份委托已完成，报酬已经结清。{tag1}公会告示板{tag2}展开，记下这桩事。	第一份委托已办妥结款，{tag1}公会布告板{tag2}随之展开，以备记录。
display.31-sheet-rendering-and-panels.petDoorSay.0443	One mimic in {value1} put down that way gives it up.	每{value1}只以此方式击败的拟态怪中，约有一只会掉落它。	每以此方式击败{value1}只拟形怪，约有一只会交出它。
display.31-sheet-rendering-and-panels.petDoorSay.0444	{value1}% of mimics killed in the surprise round drop it.	在突袭轮击杀的拟态怪有{value1}%的几率掉落它。	在突袭轮击杀的拟形怪有{value1}%的几率掉落它。
display.31-sheet-rendering-and-panels.petDoorSay.0446	{value1} of {value2} {value3}, counted across every chronicle from the day the roll of pets opened.	自宠物名册开放以来，历次冒险累计{value1}/{value2}份{value3}。	自宠物名册开放之日起，历次纪事累计{value1}/{value2}份{value3}。
display.31-sheet-rendering-and-panels.petTip.0447	 It is kept upon the Roll, and it outlives the chronicle that fed it.	它会记入荣誉名册，本次冒险结束后仍会保留。	它登记在荣誉名册上，喂养它的这部纪事结束后，它仍会留存。
display.31-sheet-rendering-and-panels.petTip.0449	At every million it sits down and will not be moved, and after a while it gives up one of the three artefacts of the pool, which no shop stocks and no ordinary find pays. Once all three stand upon your Roll the hoard has nothing left to pay.	每吃满一百万份，它就会坐下，任凭呼唤也不肯走。过一会儿，它会交出三件特殊神器中的一件，商店不售卖，普通发现也不会产出。三件都记入荣誉名册后，它便不再交出神器。	每吃满一百万份，它便坐下，任凭呼唤也不挪窝。过一阵子，它会交出奖励池三件神器中的一件——商店不售，寻常所得也换不来。三件都记入荣誉名册后，这座宝藏便再无可付。
display.31-sheet-rendering-and-panels.renderGoal.0634	The Guild's fitting stands suspended: nothing is worn until you fit it yourself, out of the Guild's stores in the Armoury. Hand the office back by ticking Auto-equip better gear there. The kit goal stands at {value1} against that day, and clicking here still walks it on.{value2}	公会已暂停自动配装。你需要到军械库中自行穿戴。勾选「自动装备」即可恢复自动配装。目前装备目标为{value1}，点击此处仍可切换目标。{value2}	公会代为配装一事已暂停：在你亲自从军械库的公会库存中取用之前，不会穿戴任何装备。在那里勾选「自动装备」，即可将这项差事交还公会。届时的装备目标暂定为{value1}，点击此处仍可切换。{value2}
display.31-sheet-rendering-and-panels.renderGoal.0636	How your equipment is fitted as it drops. {value1} Nothing is ruled out: a far better piece of the other kind is still worn. Click for the next.	找到装备后如何选择穿戴。{value1}另一类装备若明显更好，仍会穿戴。点击切换。	装备掉落时按何种方针穿戴。{value1}不会完全排除任何装备：另一类中若有明显更好的，仍会穿上。点击切换下一项。
display.31-sheet-rendering-and-panels.renderSheet.0314	Spot = {value1} = {value2}. Traps, ambushes and mimics are seen when their concealment is at or below it.	察觉={value1}={value2}。陷阱、伏击和拟态怪的隐蔽值不高于此数值时，就会被发现。	察觉={value1}={value2}。陷阱、伏击和拟形怪的隐蔽值不高于此数值时，就会被发现。
display.31-sheet-rendering-and-panels.renderSheet.0334	They expire; the run preparation lasts the chronicle.	这些效果会到期；奔行整备持续本次冒险。	这些效果会到期；奔行整备持续本部纪事。
display.31-sheet-rendering-and-panels.renderSheet.0374	{value1}x{value2} XP and x{value3} gold, gross. Beasts are tougher, so the net is about +15% each.	{value1}XP×{value2}，金币×{value3}，为单次收益倍率。怪物也会增强，因此实际获得效率各提高约15%。	{value1}XP×{value2}，金币×{value3}，均为毛收益。怪物也随之增强，折算净收益各约+15%。
display.31-sheet-rendering-and-panels.renderSheet.0375	Bonuses: folk	加成：族裔	加成：种族
display.31-sheet-rendering-and-panels.renderSpells.0479	The small magics your adventurer has picked up upon the descent, which fire on their own as the well of MP allows.	冒险者在地城中学会的小法术。只要法力足够，它们就会自行触发。	冒险者在下行途中学会的小法术。只要法力足够，它们就会自行触发。
display.31-sheet-rendering-and-panels.renderSpells.0480	The tricks your trade has drilled into you upon the descent: trained habit rather than magic, coming to hand on their own as the well allows.	冒险者在地城中练成的职业技巧，凭借训练而非魔法施展。只要法力足够，它们就会自行触发。	冒险者在下行途中练成的职业技巧，凭借训练而非魔法施展。只要法力足够，它们就会自行触发。
display.31-sheet-rendering-and-panels.renderSpells.0482	The small magics your adventurer has picked up upon the descent. Each rises by degrees, from I toward XV, and each fires upon the road of its own accord, as the well of MP allows.	冒险者在地城中学会的小法术，阶位从I逐步升至XV。只要法力足够，它们就会在旅途中自行触发。	冒险者在下行途中学会的小法术，阶位从I逐步升至XV。只要法力足够，它们就会在旅途中自行触发。
display.31-sheet-rendering-and-panels.renderSpells.0483	The tricks your trade has drilled into you upon the descent: trained habit rather than magic. Each rises by degrees, from I toward XV, and each comes to hand upon the road of its own accord, as the well allows.	冒险者在地城中练成的职业技巧，凭借训练而非魔法施展。阶位从I逐步升至XV，只要法力足够，就会在旅途中自行触发。	冒险者在下行途中练成的职业技巧，凭借训练而非魔法施展。阶位从I逐步升至XV，只要法力足够，就会在旅途中自行触发。
display.31-sheet-rendering-and-panels.renderSpells.0503	{value1}, {value2} degree	{value1}，第{value2}级	{value1}，第{value2}阶
display.31-sheet-rendering-and-panels.renderStats.0138	The watch upon the road, and Wisdom sets it: ten, and your Wisdom, and every lens and lesson bought on top of them. A trap or an ambush hidden at this figure or lower is seen before it springs, and a chest that is not a chest is known by its tooth. Yours: 10, and {value1} of Wisdom, {value2} of kit and charter, and {value3} of the Watchhouse, which comes to {value4}.	感知决定你在路上的守望本领：基础10点，加上感知调整值，以及镜片、训练和其他加值。陷阱或伏击的隐蔽值不高于此数值时，你会在它们发动前发现；伪装成宝箱的怪物也会露出破绽。你的数值：10，加上感知的{value1}、装备和宪章的{value2}、哨所的{value3}，共{value4}。	感知决定你在路上的守望本领：基础10点，加上感知调整值，以及镜片、训练和其他加值。陷阱或伏击的隐蔽值不高于此数值时，你会在它们发动前发现；伪装成宝箱的怪物也会被你认出獠牙。你的数值：10，加上感知的{value1}、装备和宪章的{value2}、哨所的{value3}，共{value4}。
display.31-sheet-rendering-and-panels.renderStats.0139	Spot = 10 + WIS mod + spot bonuses + Watchhouse. Yours: 10 {value1} {value2} {value3} = {value4}. Traps, ambushes and mimics roll against it.	察觉=10+WIS调整值+察觉加值+哨所加值。你的数值：10 {value1} {value2} {value3}={value4}。用于判定能否发现陷阱、伏击和拟态怪。	察觉=10+WIS调整值+察觉加值+哨所加值。你的数值：10 {value1} {value2} {value3}={value4}。用于判定能否发现陷阱、伏击和拟形怪。
display.31-sheet-rendering-and-panels.renderTraits.0014	{tag1}{tag2}Name{tag3}{tag4}{value0}{tag5}{tag6}{tag7}{tag8}Folk{tag9}{tag10}{value2}{tag11}{tag12}{tag13}{tag14}Trade{tag15}{tag16}{value4}{value5}{tag17}{tag18}{value6}{tag19}{tag20}Rank{tag21}{tag22}{value9}{value10}{tag23}{tag24}{tag25}{tag26}Mastery{tag27}{tag28}{value12}{tag29}{tag30}{value13}	{tag1}{tag2}姓名{tag3}{tag4}{value0}{tag5}{tag6}{tag7}{tag8}族裔{tag9}{tag10}{value2}{tag11}{tag12}{tag13}{tag14}职业{tag15}{tag16}{value4}{value5}{tag17}{tag18}{value6}{tag19}{tag20}等级{tag21}{tag22}{value9}{value10}{tag23}{tag24}{tag25}{tag26}熟练加值{tag27}{tag28}{value12}{tag29}{tag30}{value13}	{tag1}{tag2}姓名{tag3}{tag4}{value0}{tag5}{tag6}{tag7}{tag8}种族{tag9}{tag10}{value2}{tag11}{tag12}{tag13}{tag14}职业{tag15}{tag16}{value4}{value5}{tag17}{tag18}{value6}{tag19}{tag20}等级{tag21}{tag22}{value9}{value10}{tag23}{tag24}{tag25}{tag26}熟练加值{tag27}{tag28}{value12}{tag29}{tag30}{value13}
display.31-sheet-rendering-and-panels.renderTraits.0015	Your adventurer's people, {value1} upon the Guild rolls. The gift of the {value2}: {value3}	冒险者所属的族裔。公会名册共有{value1}种族裔。{value2}的天赋：{value3}	冒险者所属的种族。公会名册共载{value1}个种族。{value2}的天赋：{value3}
display.31-sheet-rendering-and-panels.renderTraits.0025.attribute1	Your standing upon the Guild rolls. Each rank attained grants +1 to an ability, a spell learned or deepened, more HP and MP, and it refills the well and knits every wound. At the 5th, the 11th, the 20th and the 30th a choice is entered against the rank and kept for the chronicle. The sword may be hung up at any rank, and from the 5th the retirement pays prestige.	你在公会名册上的等级。每升一级，一项属性+1，学会或精进一道法术，HP和MP上限提高，并完全恢复。在5、11、20和30级各做一次升级选择，效果持续本次冒险。任何等级都可退休，达到5级后退休可获得声望。	你在公会名册上的等级。每升一级，一项属性+1，学会或精进一道法术，HP和MP上限提高，并完全恢复。在5、11、20和30级各做一次升级选择，效果持续本部纪事。任何等级都可退休，达到5级后退休可获得声望。
display.31-sheet-rendering-and-panels.renderTraits.0026	{value1} upon every stroke you make. The drill yard raises it, {value2} times a chronicle, and the Guild issues {value3} to everybody.	每次攻击获得{value1}。训练场可提高此数值，每次冒险限{value2}次；所有冒险者的初始加值为{value3}。	每次攻击获得{value1}。训练场可提高此数值，每部纪事限{value2}次；所有冒险者的初始加值为{value3}。
display.31-sheet-rendering-and-panels.renderTraits.0027	{value1} to hit, on every attack roll. Base {value2}, bought up to {value3} more times a chronicle at the drill yard.	每次攻击检定的命中加值为{value1}。初始为{value2}，每次冒险可在训练场再提升{value3}次。	每次攻击检定的命中加值为{value1}。初始为{value2}，每部纪事可在训练场再提升{value3}次。
display.31-sheet-rendering-and-panels.statStats.0093	Workings fire {value1}% oftener a point of modifier.	每点调整值使能力触发频率提高{value1}%。	每点调整值使术法触发频率提高{value1}%。
display.32-kit-tooltips-and-arc-endings.arc2Victory.0166	Rank at the shard-field	抵达碎晶地时的等级	抵达碎碑原时的等级
display.32-kit-tooltips-and-arc-endings.arc2Victory.0171	Total gold earned by completion	获得金币	累计获得金币
display.32-kit-tooltips-and-arc-endings.arc2Victory.0176	{tag1}{value0} is silent, and the riven obelisk stands as plain stone!{tag2}{tag3}Thus closes {value1}, the long descent below the hoard, and the shards go up under seal, one wagon to a piece. {value2}{tag4}{tag5}The road runs on, and it is posted plainly at the counter. The survey's drills, cutting the quarry below the shard-field, have met worked stone: a lintel, and under the lintel, stairs. The Guild has entered the descent as {tag6}{value3}{tag7}, six halls charted at about two days all told, ending upon the observatory of the mage Vastian at the bottom. Adventurers of the 5th rank may instead {tag8}Retire{tag9} (menu) with full honours and endow every chronicle after; achievements are kept either way. Either road is entered in the same ledger.	{tag1}{value0}归于寂静，裂开的方尖碑已成普通石头！{tag2}{tag3}{value1}至此结束，这段宝藏之下的漫长下行已完成。碎片逐一封好运上去，每片装满一车。{value2}{tag4}{tag5}道路仍向前延伸，柜台已将消息张贴。勘测队在碎晶地下面开采时，钻头碰到人工石作：一道门楣，门楣下是阶梯。公会将这条下行路线登记为{tag6}{value3}{tag7}，共六座厅堂，预计约两天，终点在法师瓦斯蒂安的天文台。五级及以上冒险者也可从菜单选择{tag8}退休{tag9}，荣誉归来，为后来的每部纪事留下资助；无论走哪条路，成就都保留。两条路同记一本账。	{tag1}{value0}归于寂静，破裂方尖碑已成寻常石头！{tag2}{tag3}{value1}至此结束，宝藏之下的漫长下行告一段落。碎片加封运上，一片一车。{value2}{tag4}{tag5}道路仍向前延伸，柜台已将消息张贴。勘测队在碎碑原下开凿采石场时，钻头碰到人工石作：一道门楣，门楣下是阶梯。公会将这条下行路线登记为{tag6}{value3}{tag7}，共六座厅堂，全程预计约两天，终点在底层法师瓦斯蒂安的观测所。五级及以上冒险者也可从菜单选择{tag8}退休{tag9}，荣誉归来，为后来的每部纪事留下资助；无论走哪条路，成就都保留。两条路同记一本账。
display.32-kit-tooltips-and-arc-endings.arc3Victory.0181	Rank at the observatory	抵达天文台时的等级	抵达观测所时的等级
display.32-kit-tooltips-and-arc-endings.arc3Victory.0186	Total gold earned by completion	获得金币	累计获得金币
display.32-kit-tooltips-and-arc-endings.arc3Victory.0191	{tag1}{value0} is undone, and the Manifold Halls go unwatched!{tag2}{tag3}Thus closes {value1}. The master's charts go up under the survey's seal, your own column entered fair at the edge. {value2}{tag4}{tag5}The road runs on, and it is posted plainly at the counter. Below the observatory begins {tag6}Arc IV: The Roll Below{tag7}. Its six charted floors lead to the Last Vault, where the Lich keeps watch. Adventurers of the 5th rank or higher may instead {tag8}Retire{tag9} (menu) with full honours and endow every chronicle after; achievements are kept either way. Either road is entered in the same ledger.	{tag1}{value0}已被摧毁，重影厅室再无窥视者！{tag2}{tag3}{value1}至此结束。主人的图纸加盖勘测印运回，边缘清楚记着你的那一栏。{value2}{tag4}{tag5}柜台已张贴继续下行的路线。观测台下方通往{tag6}篇章IV：地下名册库{tag7}。六层楼面均已绘入地图，尽头是巫妖看守的最后密室。五级及以上冒险者也可从菜单选择{tag8}退休{tag9}，荣誉归来，为后来的每部纪事留下资助；无论走哪条路，成就都保留。两条路同记一本账。	{tag1}{value0}已被摧毁，重影厅室再无窥视者！{tag2}{tag3}{value1}至此结束。观测所主人的图表加盖勘测所印运上，边缘工整记着你的那一栏。{value2}{tag4}{tag5}柜台已张贴继续下行的路线。观测所下方通往{tag6}篇章IV：地下名册库{tag7}。六层楼面均已绘入地图，尽头是巫妖看守的最后密室。五级及以上冒险者也可从菜单选择{tag8}退休{tag9}，荣誉归来，为后来的每部纪事留下资助；无论走哪条路，成就都保留。两条路同记一本账。
display.32-kit-tooltips-and-arc-endings.arc4Victory.0205	Rank at the Last Vault	抵达末库时的等级	抵达最后密室时的等级
display.32-kit-tooltips-and-arc-endings.arc4Victory.0210	Total gold earned by completion	获得金币	累计获得金币
